Status,Gender,Department,Count
Admit,Male,Astronomy,51200
Reject,Male,Astronomy,31300
Admit,Female,Astronomy,8900
Reject,Female,Astronomy,1900
Admit,Male,Biology,2200
Reject,Male,Biology,35100
Admit,Female,Biology,2400
Reject,Female,Biology,31700
Admit,Male,Law,13800
Reject,Male,Law,27900
Admit,Female,Law,13100
Reject,Female,Law,24400
Admit,Male,Physics,35300
Reject,Male,Physics,20700
Admit,Female,Physics,1700
Reject,Female,Physics,800
Admit,Male,Psychology,12000
Reject,Male,Psychology,20500
Admit,Female,Psychology,20200
Reject,Female,Psychology,39100
Admit,Male,Sociology,5300
Reject,Male,Sociology,13800
Admit,Female,Sociology,9400
Reject,Female,Sociology,29900
